slang,formal,category,length
geh,gih,modifikasi vokal,3
uga,juga,zeroisasi,3
bgs,bagus,abreviasi,3
dstu,disitu,abreviasi,4
dahhhh,dah,elongasi,6
yaak,ya,elongasi,4
gthu,begitu,abreviasi,4
nda,indak,zeroisasi,3
maauuu,mau,elongasi,6
merka,mereka,abreviasi,5
th,tahun,abreviasi,2
jugak,juga,anaptiksis,5
ughaa,juga,zeroisasi,5
banged,banget,subtitusi,6
adain,mengadakan,afiksasi,5
bsa,bisa,abreviasi,3
kaan,kan,elongasi,4
bgd,banget,abreviasi,3
mb,mbak,abreviasi,2
padet,padat,modifikasi vokal,5
utk,untuk,abreviasi,3
kmi,kami,abreviasi,3
ckup,cukup,abreviasi,4
dptkan,dapatkan,abreviasi,6
kalii,kali,elongasi,5
baget,banget,zeroisasi,5
dri,dari,abreviasi,3
ngk,enggak,abreviasi,3
ahh,ah,elongasi,3
ciapa,siapa,subtitusi,5
yahbh,ya,anaptiksis,5
msih,masih,abreviasi,4
sktika,seketika,abreviasi,6
massss,mas,elongasi,6
ksni,kesini,abreviasi,4
bkan,bukan,abreviasi,4
jgk,juga,abreviasi,3
it,itu,abreviasi,2
nti,nanti,abreviasi,3
pgi,pagi,abreviasi,3
mna,mana,abreviasi,3
uda,sudah,zeroisasi,3
b3,bertiga,subtitusi,2
ihhh,ih,elongasi,4
lcu,lucu,abreviasi,3
yachhh,ya,anaptiksis,6
kanapa,kenapa,modifikasi vokal,6
banhet,banget,salah ketik,6
pg,pagi,abreviasi,2
nie,ini,zeroisasi,3
pla,pula,abreviasi,3
kw,kau,subtitusi,2
sy,saya,abreviasi,2
bngtzt,banget,abreviasi,6
fav,favorit,abreviasi,3
bng,bang,abreviasi,3
yuppss,ya,modifikasi vokal,6
begete,banget,abreviasi,6
ynk,sayang,abreviasi,3
cr,cara,abreviasi,2
diemin,diamkan,afiksasi,6
ckp,cukup,abreviasi,3
ato,atau,monoftongisasi,3
ms,masih,abreviasi,2
cb,coba,abreviasi,2
spt,seperti,abreviasi,3
pdhl,padahal,abreviasi,4
pd,pada,abreviasi,2
hrs,harus,abreviasi,3
mrk,mereka,abreviasi,3
sbelum,sebelum,abreviasi,6
msk,masuk,abreviasi,3
rmh,rumah,abreviasi,3
elo,lo,anaptiksis,3
lbh,lebih,abreviasi,3
byk,banyak,abreviasi,3
tdr,tidur,abreviasi,3
apa2,apa-apa,reduplikasi,4
ajah,saja,zeroisasi,4
ehh,eh,elongasi,3
mf,maaf,abreviasi,2
iaa,ya,subtitusi,3
kdg,kadang,abreviasi,3
skli,sekali,abreviasi,4
kli,kali,abreviasi,3
ttp,tetap,abreviasi,3
ihhhh,ih,elongasi,5
kyak,kayak,abreviasi,4
nyaa,nya,elongasi,4
klu,kalau,abreviasi,3
dg,dengan,abreviasi,2
