slang,formal,category,length
u,lu,word-value letter,1
awk,awak,abreviasi,3
bw,bawa,abreviasi,2
tgk,tengok,abreviasi,3
bkn,bikin,abreviasi,3
kaj,kak,salah ketik,3
sm2,sama-sama,reduplikasi,3
uih,uh,anaptiksis,3
mff,maaf,abreviasi,3
ema,emak,zeroisasi,3
yuh,tuh,salah ketik,3
loo,lo,elongasi,3
tai,tahi,zeroisasi,3
gtw,enggak tau,afiksasi,3
qo,kok,subtitusi,2
yo,ya,modifikasi vokal,2
yya,ya,elongasi,3
ud,sudah,abreviasi,2
bt,buat,abreviasi,2
mlh,malah,abreviasi,3
hbs,habis,abreviasi,3
kr,kira,abreviasi,2
nt,nanti,abreviasi,2
hat,hati,abreviasi,3
jng,jangan,abreviasi,3
luh,lu,anaptiksis,3
yep,ya,modifikasi vokal,3
loe,lo,anaptiksis,3
nmr,nomor,abreviasi,3
ntn,menonton,abreviasi,3
pa2,apa-apa,reduplikasi,3
de,dek,zeroisasi,2
dii,di,elongasi,3
ooh,oh,elongasi,3
awl,awal,abreviasi,3
smw,semua,abreviasi,3
uuh,uh,elongasi,3
nga,enggak,abreviasi,3
de,deh,zeroisasi,2
pen,pengin,abreviasi,3
yoo,ya,modifikasi vokal,3
y,nya,word-value letter,1
si,sih,zeroisasi,2
brg,bareng,abreviasi,3
kha,kah,subtitusi,3
s,si,abreviasi,1
s,sih,abreviasi,1
wik,wig,subtitusi,3
gkk,enggak,abreviasi,3
taz,atas,abreviasi,3
yq,yang,subtitusi,2
adl,adalah,abreviasi,3
bhn,bahan,abreviasi,3
le,boleh,abreviasi,2
ugha,juga,abreviasi,4
yam,ya,anaptiksis,3
koq,kok,subtitusi,3
"ms""",masa-masa,reduplikasi,3
ngg,enggak,abreviasi,3
slw,selow,abreviasi,3
nyo,nya,modifikasi vokal,3
ajj,saja,abreviasi,3
lsg,langsung,abreviasi,3
bju,baju,abreviasi,3
wrn,warna,abreviasi,3
k',kak,pungtuasi,2
kuu,ku,elongasi,3
c,sih,word-value letter,1
mlz,malas,abreviasi,3
iy,iya,abreviasi,2
dnk,dong,abreviasi,3
kll,kalo,abreviasi,3
neh,nih,modifikasi vokal,3
aee,saja,subtitusi,3
am,sama,abreviasi,2
tah,teh,modifikasi vokal,3
ppa,papa,abreviasi,3
abg,abang,abreviasi,3
msa,masa,abreviasi,3
tpy,tapi,abreviasi,3
ngp,mengapa,abreviasi,3
or,orang,abreviasi,2
taw,tau,subtitusi,3
sjk,sejak,abreviasi,3
oom,om,elongasi,3
dee,dek,zeroisasi,3
yap,ya,anaptiksis,3
klk,kelak,abreviasi,3
ysh,ya,salah ketik,3
hub,hubungan,abreviasi,3
anj,anjing,abreviasi,3
kt2,kata-kata,abreviasi,3
sbb,sebab,abreviasi,3
sp,sapa,abreviasi,2
owh,oh,anaptiksis,3
usa,usah,zeroisasi,3
nie,nih,subtitusi,3
cri,cari,abreviasi,3
nm,nama,abreviasi,2
iyh,iya,subtitusi,3
mlu,melulu,abreviasi,3
th,tahu,abreviasi,2
kel,keluarga,abreviasi,3
da,dah,zeroisasi,2
tnp,tanpa,abreviasi,3
mnt,minta,abreviasi,3
lw,kalau,abreviasi,2
kyy,kaya,abreviasi,3
kq,kok,abreviasi,2
b2,berdua,subtitusi,2
mg,moga,abreviasi,2
prh,parah,abreviasi,3
maw,mau,subtitusi,3
mk,maka,abreviasi,2
tth,teteh,abreviasi,3
lgs,langsung,abreviasi,3
gde,gede,abreviasi,3
guw,gue,subtitusi,3
j,saja,word-value letter,1
dsr,dasar,abreviasi,3
kx,kak,subtitusi,2
abs,habis,abreviasi,3
jh,saja,abreviasi,2
